Times,Angle,Cur,Diff,Control
00:59.24,158.960953,214.0,-55.039047,1.376544
00:59.26,158.93869,214.0,-55.06131,1.377089
00:59.28,158.917084,213.0,-54.082916,1.327613
00:59.29,158.896057,213.0,-54.103943,1.353124
00:59.31,158.875595,213.0,-54.124405,1.353622
00:59.32,158.855591,213.0,-54.144409,1.35411
00:59.34,158.836029,212.0,-53.163971,1.304588
00:59.36,158.816956,212.0,-53.183044,1.330053
00:59.37,158.798401,212.0,-53.201599,1.330504
00:59.39,158.780289,212.0,-53.219711,1.330946
00:59.40,158.762619,212.0,-53.237381,1.331376
00:59.42,158.745392,211.0,-52.254608,1.281796
00:59.44,158.728592,211.0,-52.271408,1.307205
00:59.45,158.71225,211.0,-52.28775,1.307602
00:59.47,158.696259,211.0,-52.303741,1.307993
00:59.48,158.680695,211.0,-52.319305,1.308372
00:59.50,158.665558,210.0,-51.334442,1.258739
00:59.52,158.650833,210.0,-51.349167,1.284097
00:59.53,158.636475,210.0,-51.363525,1.284447
00:59.55,158.62236,210.0,-51.37764,1.284794
00:59.56,158.608536,210.0,-51.391464,1.285132
00:59.58,158.595062,210.0,-51.404938,1.28546
00:59.60,158.581894,209.0,-50.418106,1.235782
00:59.61,158.568985,209.0,-50.431015,1.261098
00:59.63,158.556427,209.0,-50.443573,1.261403
00:59.64,158.544189,209.0,-50.455811,1.261701
00:59.66,158.532242,209.0,-50.467758,1.261993
00:59.68,158.520538,209.0,-50.479462,1.262279
00:59.69,158.509155,209.0,-50.490845,1.262556
00:59.71,158.498062,208.0,-49.501938,1.212826
00:59.72,158.487244,208.0,-49.512756,1.238089
00:59.74,158.476669,208.0,-49.523331,1.238348
00:59.76,158.466309,208.0,-49.533691,1.238601
00:59.77,158.456223,208.0,-49.543777,1.238847
00:59.79,158.44635,208.0,-49.55365,1.239088
00:59.80,158.436722,208.0,-49.563278,1.239323
00:59.82,158.427338,208.0,-49.572662,1.239551
