Times,I Value,J Value
00:10.00,2387.270264,1449.519531
00:10.01,2374.873535,1449.633667
00:10.03,2362.447266,1449.714966
00:10.04,2349.991943,1449.762695
00:10.06,2337.507568,1449.776245
00:10.08,2324.994385,1449.755127
00:10.09,2312.452637,1449.698853
00:10.11,2299.882568,1449.608032
00:10.12,2287.284180,1449.482056
00:10.14,2274.657471,1449.320557
00:10.16,2262.002686,1449.123047
00:10.17,2249.320068,1448.889038
00:10.19,2236.609863,1448.618042
00:10.20,2223.872803,1448.360718
00:10.22,2211.110107,1448.298096
00:10.24,2198.319824,1448.191040
00:10.25,2185.501953,1448.066650
00:10.27,2172.656494,1447.933350
00:10.28,2159.783203,1447.789185
00:10.30,2146.881592,1447.615112
00:10.32,2133.951416,1447.420654
00:10.33,2120.993652,1447.265991
00:10.35,2108.007080,1447.088501
00:10.36,2094.991455,1446.892334
00:10.38,2081.946533,1446.681641
00:10.40,2068.872314,1446.460327
00:10.41,2055.768555,1446.233276
00:10.43,2042.635132,1446.014893
00:10.44,2029.473755,1445.887817
00:10.46,2016.282959,1445.761475
00:10.48,2003.062622,1445.639038
00:10.49,1989.812988,1445.524780
00:10.51,1976.534180,1445.422607
00:10.52,1963.226440,1445.336304
00:10.54,1949.889893,1445.268433
00:10.56,1936.524902,1445.222412
00:10.57,1923.131592,1445.200562
00:10.59,1909.710449,1445.206299
00:10.60,1896.261719,1445.241455
00:10.62,1882.785645,1445.307983
00:10.64,1869.282471,1445.407837
00:10.65,1855.752563,1445.542725
00:10.67,1842.196289,1445.714355
00:10.68,1828.612793,1445.915283
00:10.70,1815.002319,1446.146362
00:10.72,1801.365112,1446.408325
00:10.73,1787.701050,1446.700928
00:10.75,1774.010010,1447.019409
00:10.76,1760.292358,1447.368164
00:10.78,1746.547974,1447.745850
00:10.80,1732.776733,1448.150146
00:10.81,1718.978638,1448.579956
00:10.83,1705.153198,1449.028687
00:10.84,1691.300171,1449.493286
00:10.86,1677.419556,1449.972046
00:10.88,1663.511108,1450.461060
00:10.89,1649.574951,1450.962402
00:10.91,1635.610840,1451.472412
00:10.92,1621.618652,1451.988525
00:10.94,1607.598389,1452.507324
00:10.96,1593.549805,1453.025513
00:10.97,1579.473022,1453.539917
00:10.99,1565.368042,1454.047607
00:11.00,1551.234741,1454.545532
00:11.02,1537.073364,1455.031006
00:11.04,1522.883911,1455.501343
00:11.05,1508.666504,1455.953979
00:11.07,1494.421387,1456.386475
00:11.08,1480.148682,1456.796387
00:11.10,1465.848999,1457.176880
00:11.12,1451.522095,1457.530640
00:11.13,1437.168823,1457.850830
00:11.15,1422.789307,1458.135742
00:11.16,1408.384155,1458.382324
00:11.18,1393.953003,1458.593628
00:11.20,1379.496826,1458.763184
00:11.21,1365.016113,1458.888306
00:11.23,1350.510498,1458.972168
00:11.24,1335.981201,1459.008667
00:11.26,1321.428711,1458.995361
00:11.28,1306.852539,1458.935669
00:11.29,1292.254150,1458.822632
00:11.31,1277.633911,1458.655151
00:11.32,1262.992188,1458.432495
00:11.34,1248.674194,1458.162720
00:11.36,1234.680298,1457.841919
00:11.37,1221.008545,1457.475220
00:11.39,1207.659668,1457.057861
00:11.40,1194.634155,1456.586670
00:11.42,1181.929810,1456.066406
00:11.44,1169.548828,1455.490234
00:11.45,1157.500732,1454.839355
00:11.47,1145.777954,1454.127197
00:11.48,1134.382324,1453.350220
00:11.50,1123.311523,1452.512329
00:11.52,1112.567749,1451.609863
00:11.53,1102.148560,1450.647583
00:11.55,1092.054077,1449.625244
00:11.56,1082.286499,1448.540894
00:11.58,1072.843628,1447.398071
00:11.60,1063.725586,1446.198364
00:11.61,1054.932129,1444.943604
00:11.63,1046.463135,1443.636108
00:11.64,1038.320679,1442.275024
00:11.66,1030.125732,1440.967407
00:11.68,1021.631531,1440.468018
00:11.69,1013.170349,1439.787842
00:11.71,1004.802979,1438.954834
00:11.72,996.532410,1437.971802
00:11.74,988.354980,1436.847168
00:11.76,980.270447,1435.585938
00:11.77,972.282471,1434.189209
00:11.79,964.387451,1432.664795
00:11.80,956.505005,1431.191528
00:11.82,948.484497,1430.090698
00:11.84,940.525024,1428.934814
00:11.85,932.631958,1427.709717
00:11.87,924.773071,1426.417847
00:11.88,917.042358,1424.954834
00:11.90,909.520508,1423.151733
00:11.92,902.124695,1421.208130
00:11.93,894.793274,1419.099976
00:11.95,887.525452,1416.832397
00:11.96,880.324219,1414.408325
00:11.98,873.188965,1411.832520
00:12.00,866.119934,1409.108643
00:12.01,859.117432,1406.240112
00:12.03,852.182617,1403.229614
00:12.04,845.316772,1400.079712
00:12.06,838.521179,1396.792969
00:12.08,831.794250,1393.372559
00:12.09,825.138306,1389.820068
00:12.11,818.555664,1386.137085
00:12.12,812.049561,1382.324585
00:12.14,805.622314,1378.384399
00:12.16,799.276306,1374.318115
00:12.17,793.014771,1370.126831
00:12.19,786.845032,1365.810791
00:12.20,780.770203,1361.371582
00:12.22,774.789307,1356.811768
00:12.24,768.906555,1352.132324
00:12.25,763.125183,1347.335083
00:12.27,757.448303,1342.421875
00:12.28,751.880188,1337.393921
00:12.30,746.424866,1332.252930
00:12.32,741.084961,1327.001465
00:12.33,735.867554,1321.641357
00:12.35,730.771179,1316.175415
00:12.36,725.798645,1310.605957
00:12.38,720.956360,1304.935669
00:12.40,716.245972,1299.167725
00:12.41,711.664001,1293.305298
00:12.43,707.216675,1287.351318
00:12.44,702.905823,1281.308960
00:12.46,698.733215,1275.181396
00:12.48,694.704651,1268.972412
00:12.49,690.821777,1262.685303
00:12.51,687.090088,1256.324463
00:12.52,683.508057,1249.892090
00:12.54,680.080994,1243.393066
00:12.56,676.767029,1236.823608
00:12.57,673.586243,1230.186890
00:12.59,670.544373,1223.486572
00:12.60,667.637756,1216.724731
00:12.62,664.867188,1209.904053
00:12.64,662.232483,1203.027100
00:12.65,659.732483,1196.096436
00:12.67,657.367371,1189.114380
00:12.68,655.135193,1182.083252
00:12.70,653.035339,1175.005249
00:12.72,651.066223,1167.882446
00:12.73,649.226501,1160.716797
